,ra,dec_x,Nobs,filter,Name,coord,Type,dec_y
198,305.909,42.84498,2,zg,12811,202338.05 +425042.3,SRA,42.845083333333335
199,305.99,63.04243999999977,49,zg,14256,202357.60 +630232.7,EA,63.04241666666667
200,145.929,77.44709999999998,35,zg,14269,094342.93 +772649.7,EA,77.44713888888889
201,173.025,69.96159999999972,35,zg,14271,113205.94 +695741.5,EA,69.96152777777777
202,201.847,65.4817399999999,36,zg,14282,132723.39 +652854.2,EA+NL,65.48172222222222
203,226.616,60.30580999999991,43,zg,14289,150627.73 +601820.9,EA,60.30580555555555
204,240.2,51.28035999999997,50,zg,14307,160047.96 +511648.5,EW,51.280138888888885
205,259.591,51.29232000000001,52,zg,14325,171821.88 +511732.3,RRAB,51.29230555555555
206,263.099,51.679829999999995,50,zg,14331,173223.75 +514047.3,RRAB,51.679805555555554
207,265.552,63.56731000000019,53,zg,14335,174212.39 +633401.9,RRC,63.567194444444446
208,271.58,65.69356999999992,58,zg,14351,180619.14 +654137.3,EW,65.69369444444445
209,273.053,68.70331000000027,57,zg,14353,181212.66 +684211.9,EA,68.70330555555556
210,302.367,65.76209000000013,48,zg,14382,200928.09 +654543.4,EW,65.76205555555556
211,308.261,68.11465999999996,51,zg,14390,203302.59 +680652.7,SR,68.11463888888888
212,174.364,72.40095000000008,35,zg,14394,113727.26 +722403.4,EW,72.40094444444445
213,200.743,65.41611000000013,38,zg,14400,132258.31 +652458.3,EA/RS,65.41619444444446
214,201.231,64.55448999999976,38,zg,14401,132455.48 +643316.1,RRC,64.55447222222222
215,228.504,64.92611000000025,43,zg,14410,151400.94 +645534.0,EA,64.92611111111111
216,236.317,65.82965999999998,38,zg,14413,154516.12 +654946.8,EW,65.82966666666667
217,240.499,57.79576000000012,48,zg,14414,160159.79 +574744.5,EW,57.79569444444444
218,240.946,57.69658,38,zg,14415,160346.99 +574147.8,RRAB,57.69661111111111
219,241.906,57.53571999999989,48,zg,14417,160737.40 +573208.5,RRAB,57.535694444444445
220,257.775,72.25357999999974,45,zg,14435,171105.98 +721512.7,RRAB,72.25352777777778
221,258.372,70.62422999999973,46,zg,14438,171329.17 +703727.1,EA,70.62419444444444
222,267.606,64.32891999999995,51,zg,14452,175025.49 +641944.2,EW,64.32894444444445
223,279.994,58.93173999999982,58,zg,14454,183958.45 +585554.0,BY,58.931666666666665
224,292.5,70.21042000000017,47,zg,14462,193000.00 +701237.4,EW,70.21038888888889
225,292.5,12.322189999999996,117,zg,1604,192959.91 +121919.7,M,12.322138888888889
226,261.308,51.440409999999986,48,zg,14477,172513.93 +512625.5,EW,51.440416666666664
227,273.779,69.29222000000027,56,zg,14480,181506.96 +691732.1,EW,69.29225
228,285.707,53.78845999999999,53,zg,14487,190249.66 +534718.3,RRAB,53.78841666666666
229,286.1,54.229800000000004,54,zg,14488,190423.98 +541347.1,EW,54.22975
230,316.543,10.385149999999994,53,zg,14508,210610.33 +102306.4,RR,10.38511111111111
231,45.806,-20.614119999999975,18,zg,14542,030313.40 -203651.5,S,-20.614305555555557
232,49.05,-22.091880000000007,18,zg,14546,031612.04 -220531.2,E,-22.092
233,68.479,-0.42548999999999987,28,zg,14588,043354.91 -002532.1,RR,-0.42558333333333337
234,75.44,-3.9936999999999974,8,zg,14622,050145.61 -035937.0,XM+EA,-3.993611111111111
235,68.575,-4.9460599999999975,28,zg,14637,043417.92 -045645.9,EW,-4.946083333333333
236,44.543,-6.197260000000012,28,zg,14642,025810.41 -061150.1,EB,-6.19725
237,71.275,-25.13977000000001,11,zg,14680,044505.91 -250823.1,RRAB,-25.13975
238,72.221,-9.198799999999979,26,zg,14681,044853.09 -091155.9,EB,-9.19886111111111
239,99.403,19.607270000000025,76,zg,14755,063736.80 +193626.5,EA/SD,19.607361111111114
240,99.345,21.741530000000015,64,zg,14823,063722.79 +214429.8,EA,21.741611111111112
241,91.331,22.547989999999988,72,zg,14842,060519.54 +223252.7,INS,22.547972222222224
242,95.008,24.31672000000003,70,zg,14935,062001.94 +241900.4,M,24.316777777777776
243,102.532,24.58691,39,zg,14949,065007.73 +243512.7,EA,24.58686111111111
244,103.414,15.332039999999978,36,zg,14968,065339.37 +151955.6,EA/SD,15.33211111111111
245,112.631,22.615550000000024,34,zg,15007,073031.51 +223656.0,SR,22.615555555555556
